User,2025-02-13,2025-02-14,2025-02-15,2025-02-16,2025-02-17,2025-02-18,2025-02-19,2025-02-20,2025-02-21,2025-02-22,2025-02-23,2025-02-24,2025-02-25,2025-02-26,2025-02-27,2025-03-01,2025-03-02,2025-03-03,2025-03-04,2025-03-05,Total
"네오/외국어 학습 교재, 논문/관심인",1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,11
뽀로로/기획&마케팅/활용인,1,1,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,9
Eric/AI 일상 활용/관심인,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,8
디디/데이터/업계인,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,8
"버터아빠/기획,컨텐츠제작/관심인",1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,8
샤인/ 블로그 쓰기/관심인,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,8
시원/서면작성/관심인,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,7
둥/언어/활용인,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6
라넬/문건검토/활용인,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4
"지아/ 마케팅 ,업무 자동화 /",1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4
미음 / 법률 관련 글 자동화 /,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
유케이 / 기업분석&업무 / 활용인,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3
본/글쓰기 개발/관심인,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
김구름/개발/업계인,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
뿔몽/서면작성/관심인,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
보노/업무자동화/활용인,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
안나/글쓰기/활용인,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"멍냥냥/엑셀,글작성/관심인",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
장첸/개발/업계인,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
복귀유저/개발/활용인,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
스탠 / 사업화 / 업계인,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
밤톨 / LLMOps / 업계인,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
라이언/마케팅/관심인,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
진지곰/코딩/업계인,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
케이/돈복사기/관심인,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"포뇨/영어,코딩/활용인",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
햎이 / MLOps / 업계인,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
